source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
95,DL031,Indian Sign Language Research & Training Centre (ISLRTC),"Indian Sign Language Research & Training Centre | (ISLRTC), (Department of Empowerment of Persons with | Disabilities (Divyangjan), | Module No. 403-405, Fourth Floor, NSIC Business Oark, | Okhla Industrial Estate, New Delhi 110020",Delhi,11,763.31,listed_in_2026-02-04_register; current_activity_not_assessed
96,DL032,Ashtavakra Institute of Rehabilitation Sciences & Research,"Ashtavakra Institute of Rehabilitation Sciences & | Research, | 5 PSP Institutional Area, Sector-14, Madhuban Chowk, | Rohini, | Delhi – 110085",Delhi,12,137.27,listed_in_2026-02-04_register; current_activity_not_assessed
97,DL033,Association For Advancement and Rehabilitation of Handicapped C/o Navjyoti Institute,"Association For Advancement and Rehabilitation of | Handicapped | C/o Navjyoti Institute, B 11 Vasant Kunj, | South West, New Delhi – 110070",Delhi,12,594.95,listed_in_2026-02-04_register; current_activity_not_assessed
98,DL034,"CBSM, Delhi Handicapped Site Dwarka","CBSM, Delhi Handicapped Site Dwarka, Sector-13,Near | Iskon Temple, New Delhi-110078",Delhi,12,654.11,listed_in_2026-02-04_register; current_activity_not_assessed
99,DL035,National Trust for the Handicapped,"National Trust for the Handicapped, | A-2, Jeet Singh Marg, Qutab Institutional Area, New Delhi – | 110067",Delhi,12,734.03,listed_in_2026-02-04_register; current_activity_not_assessed
100,DL036,"Shristi C-272, Vivek Vihar","Shristi | C-272, Vivek Vihar, Delhi - 110065",Delhi,12,783.71,listed_in_2026-02-04_register; current_activity_not_assessed
101,DL037,Tecnia Institute of Teacher Education F-19,"Tecnia Institute of Teacher Education F-19, Sector-8, | Rohini, Delhi-110085",Delhi,13,106.79,listed_in_2026-02-04_register; current_activity_not_assessed
102,DL038,DIRD College of Special Education GT Karnal Road,"DIRD College of Special Education | GT Karnal Road, Nagli Poona Delhi – 110036",Delhi,13,168.95,listed_in_2026-02-04_register; current_activity_not_assessed
103,DL039,National Forensic Science University (An Institution of National Importance) Delhi Campus,"National Forensic Science University (An Institution of | National Importance) | Delhi Campus, Ministry of Home Affairs, Government of India, | Rohini Sector-3, New Delhi – 110085",Delhi,13,212.99,listed_in_2026-02-04_register; current_activity_not_assessed
104,DL040,Mothers Care College of Special Education (Run by Kartikeyan Educational Soceity) Plot No. 66 Sector -A9,"Mothers Care College of Special Education (Run by | Kartikeyan Educational Soceity) | Plot No. 66 Sector -A9, Narela, Delhi-11040",Delhi,13,263.27,listed_in_2026-02-04_register; current_activity_not_assessed
105,DL041,Aryan College of Special Education Plot No. 75,"Aryan College of Special Education | Plot No. 75, Village Kureni, Railway Road, Narela Delhi North | – 110040",Delhi,13,315.11,listed_in_2026-02-04_register; current_activity_not_assessed
106,GO001,Lokvishwas Pratishthan,"Lokvishwas Pratishthan, Shantadurga Krupaashram, | Kapileshwari, Ponda, Goa–403401",Goa,13,367.91,listed_in_2026-02-04_register; current_activity_not_assessed
107,GO004,Dnyanvardhini Divyang Training College,"Dnyanvardhini Divyang Training College, under the aegis | of Sanjay Centre for Special Education, Bogda Murmagao, | Vosco, | Goa-403521",Goa,13,419.15,listed_in_2026-02-04_register; current_activity_not_assessed
108,GO005,Composite Regional Centre for Skill Development,"Composite Regional Centre for Skill Development, | Rehabilitation & Empowerment of Persons with | Disabilities, AYJNISHD, | Goa University, Goa University Campus, Taleigo Plateau, | Goa – 403206",Goa,13,477.23,listed_in_2026-02-04_register; current_activity_not_assessed
